Files already downloaded and verified
Files already downloaded and verified
train_dataset =  40000
valid_dataset =  10000
test_dataset =  10000
training start ...
Epoch [1/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [2/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [3/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [4/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [5/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [6/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [7/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [8/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [9/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [10/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [11/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [12/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [13/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [14/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [15/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [16/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [17/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [18/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [19/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [20/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [21/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [22/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [23/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [24/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [25/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [26/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [27/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [28/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [29/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [30/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [31/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [32/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [33/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [34/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [35/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [36/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [37/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [38/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [39/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [40/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [41/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [42/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [43/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [44/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [45/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [46/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [47/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [48/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [49/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
Epoch [50/50], Loss: 0.0230, val_loss: 0.0230, val_acc: 0.0987
test_accuracy: 10.0 %
learning time: 111.159 [sec]
