Files already downloaded and verified
Files already downloaded and verified
train_dataset =  40000
valid_dataset =  10000
test_dataset =  10000
training start ...
Epoch [1/50], Loss: 0.0198, val_loss: 0.0183, val_acc: 0.3269
Epoch [2/50], Loss: 0.0184, val_loss: 0.0174, val_acc: 0.3685
Epoch [3/50], Loss: 0.0178, val_loss: 0.0171, val_acc: 0.3803
Epoch [4/50], Loss: 0.0173, val_loss: 0.0162, val_acc: 0.4282
Epoch [5/50], Loss: 0.0169, val_loss: 0.0162, val_acc: 0.4137
Epoch [6/50], Loss: 0.0167, val_loss: 0.0162, val_acc: 0.4159
Epoch [7/50], Loss: 0.0163, val_loss: 0.0161, val_acc: 0.4197
Epoch [8/50], Loss: 0.0162, val_loss: 0.0157, val_acc: 0.4396
Epoch [9/50], Loss: 0.0159, val_loss: 0.0156, val_acc: 0.4349
Epoch [10/50], Loss: 0.0158, val_loss: 0.0156, val_acc: 0.4359
Epoch [11/50], Loss: 0.0155, val_loss: 0.0153, val_acc: 0.4508
Epoch [12/50], Loss: 0.0155, val_loss: 0.0153, val_acc: 0.4533
Epoch [13/50], Loss: 0.0153, val_loss: 0.0150, val_acc: 0.4618
Epoch [14/50], Loss: 0.0152, val_loss: 0.0148, val_acc: 0.4681
Epoch [15/50], Loss: 0.0150, val_loss: 0.0149, val_acc: 0.4617
Epoch [16/50], Loss: 0.0148, val_loss: 0.0149, val_acc: 0.4685
Epoch [17/50], Loss: 0.0148, val_loss: 0.0144, val_acc: 0.4822
Epoch [18/50], Loss: 0.0147, val_loss: 0.0145, val_acc: 0.4791
Epoch [19/50], Loss: 0.0145, val_loss: 0.0146, val_acc: 0.4782
Epoch [20/50], Loss: 0.0144, val_loss: 0.0144, val_acc: 0.4843
Epoch [21/50], Loss: 0.0143, val_loss: 0.0144, val_acc: 0.4857
Epoch [22/50], Loss: 0.0143, val_loss: 0.0143, val_acc: 0.4863
Epoch [23/50], Loss: 0.0141, val_loss: 0.0142, val_acc: 0.4929
Epoch [24/50], Loss: 0.0140, val_loss: 0.0142, val_acc: 0.4931
Epoch [25/50], Loss: 0.0139, val_loss: 0.0140, val_acc: 0.5010
Epoch [26/50], Loss: 0.0139, val_loss: 0.0141, val_acc: 0.5004
Epoch [27/50], Loss: 0.0139, val_loss: 0.0140, val_acc: 0.4997
Epoch [28/50], Loss: 0.0137, val_loss: 0.0142, val_acc: 0.4911
Epoch [29/50], Loss: 0.0136, val_loss: 0.0143, val_acc: 0.4887
Epoch [30/50], Loss: 0.0136, val_loss: 0.0143, val_acc: 0.4878
Epoch [31/50], Loss: 0.0134, val_loss: 0.0139, val_acc: 0.5020
Epoch [32/50], Loss: 0.0133, val_loss: 0.0141, val_acc: 0.4991
Epoch [33/50], Loss: 0.0132, val_loss: 0.0138, val_acc: 0.5102
Epoch [34/50], Loss: 0.0132, val_loss: 0.0139, val_acc: 0.5122
Epoch [35/50], Loss: 0.0131, val_loss: 0.0140, val_acc: 0.5007
Epoch [36/50], Loss: 0.0131, val_loss: 0.0140, val_acc: 0.5031
Epoch [37/50], Loss: 0.0130, val_loss: 0.0138, val_acc: 0.5047
Epoch [38/50], Loss: 0.0130, val_loss: 0.0138, val_acc: 0.5126
Epoch [39/50], Loss: 0.0129, val_loss: 0.0137, val_acc: 0.5184
Epoch [40/50], Loss: 0.0128, val_loss: 0.0136, val_acc: 0.5177
Epoch [41/50], Loss: 0.0127, val_loss: 0.0136, val_acc: 0.5158
Epoch [42/50], Loss: 0.0127, val_loss: 0.0134, val_acc: 0.5272
Epoch [43/50], Loss: 0.0126, val_loss: 0.0135, val_acc: 0.5156
Epoch [44/50], Loss: 0.0125, val_loss: 0.0136, val_acc: 0.5132
Epoch [45/50], Loss: 0.0124, val_loss: 0.0133, val_acc: 0.5233
Epoch [46/50], Loss: 0.0126, val_loss: 0.0135, val_acc: 0.5146
Epoch [47/50], Loss: 0.0124, val_loss: 0.0136, val_acc: 0.5142
Epoch [48/50], Loss: 0.0122, val_loss: 0.0135, val_acc: 0.5305
Epoch [49/50], Loss: 0.0122, val_loss: 0.0134, val_acc: 0.5221
Epoch [50/50], Loss: 0.0121, val_loss: 0.0129, val_acc: 0.5416
test_accuracy: 54.12 %
learning time: 108.742 [sec]
