Files already downloaded and verified
Files already downloaded and verified
train_dataset =  40000
valid_dataset =  10000
test_dataset =  10000
training start ...
Epoch [1/50], Loss: 0.0189, val_loss: 0.0171, val_acc: 0.3850
Epoch [2/50], Loss: 0.0170, val_loss: 0.0164, val_acc: 0.4150
Epoch [3/50], Loss: 0.0162, val_loss: 0.0160, val_acc: 0.4272
Epoch [4/50], Loss: 0.0156, val_loss: 0.0159, val_acc: 0.4241
Epoch [5/50], Loss: 0.0151, val_loss: 0.0150, val_acc: 0.4659
Epoch [6/50], Loss: 0.0147, val_loss: 0.0154, val_acc: 0.4537
Epoch [7/50], Loss: 0.0142, val_loss: 0.0147, val_acc: 0.4736
Epoch [8/50], Loss: 0.0139, val_loss: 0.0152, val_acc: 0.4533
Epoch [9/50], Loss: 0.0135, val_loss: 0.0145, val_acc: 0.4812
Epoch [10/50], Loss: 0.0133, val_loss: 0.0144, val_acc: 0.4860
Epoch [11/50], Loss: 0.0131, val_loss: 0.0141, val_acc: 0.4960
Epoch [12/50], Loss: 0.0127, val_loss: 0.0141, val_acc: 0.4981
Epoch [13/50], Loss: 0.0125, val_loss: 0.0139, val_acc: 0.5048
Epoch [14/50], Loss: 0.0122, val_loss: 0.0142, val_acc: 0.5050
Epoch [15/50], Loss: 0.0122, val_loss: 0.0139, val_acc: 0.5104
Epoch [16/50], Loss: 0.0118, val_loss: 0.0140, val_acc: 0.5017
Epoch [17/50], Loss: 0.0116, val_loss: 0.0139, val_acc: 0.5103
Epoch [18/50], Loss: 0.0114, val_loss: 0.0137, val_acc: 0.5222
Epoch [19/50], Loss: 0.0112, val_loss: 0.0139, val_acc: 0.5144
Epoch [20/50], Loss: 0.0109, val_loss: 0.0139, val_acc: 0.5210
Epoch [21/50], Loss: 0.0107, val_loss: 0.0136, val_acc: 0.5227
Epoch [22/50], Loss: 0.0106, val_loss: 0.0137, val_acc: 0.5307
Epoch [23/50], Loss: 0.0103, val_loss: 0.0139, val_acc: 0.5253
Epoch [24/50], Loss: 0.0101, val_loss: 0.0140, val_acc: 0.5164
Epoch [25/50], Loss: 0.0099, val_loss: 0.0139, val_acc: 0.5308
Epoch [26/50], Loss: 0.0097, val_loss: 0.0135, val_acc: 0.5380
Epoch [27/50], Loss: 0.0095, val_loss: 0.0138, val_acc: 0.5269
Epoch [28/50], Loss: 0.0092, val_loss: 0.0148, val_acc: 0.5100
Epoch [29/50], Loss: 0.0092, val_loss: 0.0142, val_acc: 0.5154
Epoch [30/50], Loss: 0.0089, val_loss: 0.0144, val_acc: 0.5140
Epoch [31/50], Loss: 0.0087, val_loss: 0.0145, val_acc: 0.5213
Epoch [32/50], Loss: 0.0085, val_loss: 0.0145, val_acc: 0.5238
Epoch [33/50], Loss: 0.0083, val_loss: 0.0145, val_acc: 0.5267
Epoch [34/50], Loss: 0.0080, val_loss: 0.0143, val_acc: 0.5379
Epoch [35/50], Loss: 0.0079, val_loss: 0.0148, val_acc: 0.5222
Epoch [36/50], Loss: 0.0078, val_loss: 0.0147, val_acc: 0.5274
Epoch [37/50], Loss: 0.0076, val_loss: 0.0148, val_acc: 0.5286
Epoch [38/50], Loss: 0.0072, val_loss: 0.0150, val_acc: 0.5332
Epoch [39/50], Loss: 0.0073, val_loss: 0.0148, val_acc: 0.5424
Epoch [40/50], Loss: 0.0070, val_loss: 0.0151, val_acc: 0.5376
Epoch [41/50], Loss: 0.0068, val_loss: 0.0153, val_acc: 0.5339
Epoch [42/50], Loss: 0.0066, val_loss: 0.0155, val_acc: 0.5335
Epoch [43/50], Loss: 0.0064, val_loss: 0.0153, val_acc: 0.5321
Epoch [44/50], Loss: 0.0063, val_loss: 0.0160, val_acc: 0.5218
Epoch [45/50], Loss: 0.0061, val_loss: 0.0154, val_acc: 0.5369
Epoch [46/50], Loss: 0.0059, val_loss: 0.0156, val_acc: 0.5313
Epoch [47/50], Loss: 0.0058, val_loss: 0.0165, val_acc: 0.5128
Epoch [48/50], Loss: 0.0057, val_loss: 0.0159, val_acc: 0.5302
Epoch [49/50], Loss: 0.0053, val_loss: 0.0167, val_acc: 0.5263
Epoch [50/50], Loss: 0.0053, val_loss: 0.0172, val_acc: 0.5142
test_accuracy: 51.65 %
learning time: 108.818 [sec]
